City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
dikson,73.51,80.55,-19.92,97.0,100.0,4.63
santa cruz,-17.8,-63.17,34.0,49.0,40.0,5.7
henderson,36.04,-114.98,13.4,35.0,1.0,4.1
chicama,-7.84,-79.15,23.0,78.0,20.0,5.1
segezha,63.74,34.32,-0.52,96.0,100.0,3.53
ranavav,21.68,69.74,19.4,41.0,0.0,5.07
khorinsk,52.17,109.77,-22.59,95.0,34.0,0.86
east london,-33.02,27.91,25.53,84.0,0.0,8.94
bahraich,27.58,81.6,14.5,97.0,84.0,1.04
sisimiut,66.94,-53.67,-14.35,96.0,100.0,1.94
tsihombe,11.0,122.67,24.0,87.0,,3.35
marrakesh,31.63,-8.01,12.0,40.0,7.0,1.0
alice springs,-23.7,133.88,27.0,26.0,0.0,4.1
la ermita,20.41,-101.99,24.17,24.0,84.0,2.64
constitucion,-35.33,-72.42,20.97,45.0,0.0,4.28
kidal,18.44,1.41,16.74,25.0,95.0,6.32
kasamwa,-2.85,32.43,18.53,92.0,100.0,0.86
micoud,13.82,-60.9,27.39,69.0,40.0,8.7
aksu,41.12,80.26,-4.67,83.0,100.0,0.18
vestmanna,62.16,-7.17,6.0,81.0,100.0,9.8
bintulu,3.17,113.03,24.0,94.0,90.0,1.5
ayer itam,11.0,122.67,24.0,87.0,,3.35
san patricio,19.22,-104.7,30.0,74.0,20.0,5.1
namie,37.48,141.0,-0.59,77.0,96.0,1.85
mrirt,11.0,122.67,24.0,87.0,,3.35
camacupa,-12.02,17.48,17.83,93.0,100.0,2.05
mattru,7.62,-11.83,25.29,80.0,85.0,2.01
praya,14.92,-23.51,22.0,64.0,33.0,9.3
saint-leu,-21.15,55.28,24.11,74.0,76.0,1.5
marsh harbour,26.54,-77.06,22.97,60.0,0.0,2.9
gizo,-8.1,156.84,26.2,83.0,100.0,5.78
hualmay,-11.1,-77.61,25.1,60.0,25.0,4.02
barbar,11.0,122.67,24.0,87.0,,3.35
geraldton,-28.77,114.6,22.0,88.0,75.0,2.6
kerchevskiy,59.95,56.29,-0.52,94.0,100.0,3.21
victoria,22.29,114.16,16.79,82.0,40.0,8.7
sulangan,11.14,123.72,27.29,79.0,35.0,5.4
tavares,28.8,-81.73,27.09,57.0,40.0,2.6
los llanos de aridane,28.66,-17.92,17.0,59.0,21.0,3.6
cockburn town,21.46,-71.14,25.11,79.0,34.0,7.15
mount isa,-20.73,139.5,30.0,25.0,3.0,5.7
villazon,-22.09,-65.59,18.57,43.0,100.0,8.87
port-gentil,-0.72,8.78,29.0,89.0,20.0,4.6
luderitz,-26.65,15.16,20.0,82.0,57.0,3.6
mbaiki,3.87,17.99,25.63,24.0,99.0,1.57
kayanza,-3.07,29.67,15.85,94.0,100.0,0.91
coihaique,-45.58,-72.07,17.09,42.0,30.0,4.1
alofi,-19.06,-169.92,27.57,82.0,100.0,9.04
rungata,11.0,122.67,24.0,87.0,,3.35
cochrane,51.18,-114.47,-26.57,68.0,90.0,1.5
urumqi,43.8,87.6,-8.84,85.0,90.0,1.0
yellowknife,62.46,-114.35,-35.0,66.0,75.0,1.0
norman wells,65.28,-126.83,-21.0,83.0,75.0,1.0
bac can,11.0,122.67,24.0,87.0,,3.35
daru,-9.08,143.21,23.29,94.0,60.0,2.33
camacha,33.08,-16.33,17.43,88.0,20.0,2.6
buenos aires,-34.61,-58.38,25.27,24.0,0.0,4.1
nara,34.69,135.8,3.85,81.0,100.0,2.6
nago,26.59,127.98,18.05,88.0,40.0,4.6
kuytun,54.34,101.5,-14.36,87.0,98.0,1.62
syracuse,37.09,15.28,7.12,87.0,0.0,1.0
pemba,-12.97,40.52,26.0,94.0,75.0,2.1
rio gallegos,-51.62,-69.22,16.0,48.0,40.0,3.1
markova,48.68,24.41,-2.0,100.0,75.0,0.73
gombe,10.29,11.17,20.34,22.0,0.0,4.27
tasiilaq,65.61,-37.64,-7.0,44.0,20.0,2.6
kupang,-10.17,123.58,28.26,79.0,95.0,1.59
mehamn,71.04,27.85,-5.78,85.0,75.0,0.5
hasaki,35.73,140.83,3.49,86.0,75.0,1.0
morwell,-38.23,146.4,11.87,94.0,14.0,2.43
beringovskiy,63.05,179.32,-2.07,84.0,100.0,5.76
coquimbo,-29.95,-71.34,20.0,68.0,55.0,5.7
goundam,16.41,-3.67,20.08,13.0,100.0,5.65
brigantine,39.41,-74.36,8.16,31.0,40.0,14.4
leningradskiy,69.38,178.42,-6.52,80.0,100.0,2.84
macapa,0.04,-51.07,31.0,79.0,40.0,3.6
mogadishu,2.04,45.34,26.14,78.0,0.0,12.24
hwange,-18.37,26.5,20.26,87.0,69.0,2.31
baykit,61.67,96.37,-15.45,97.0,100.0,1.66
chuy,-33.7,-53.46,22.11,36.0,0.0,4.66
subacius,11.0,122.67,24.0,87.0,,3.35
la libertad,-2.23,-80.9,28.0,69.0,29.0,4.6
beni mazar,28.5,30.8,10.49,66.0,0.0,4.18
sinnamary,5.38,-52.95,26.55,84.0,80.0,6.83
coyotepec,19.77,-99.21,20.84,37.0,40.0,4.1
tumannyy,11.0,122.67,24.0,87.0,,3.35
rio grande city,26.38,-98.82,28.51,48.0,40.0,7.2
manokwari,-0.87,134.08,22.13,87.0,99.0,1.95
aksarka,66.56,67.8,-11.92,93.0,100.0,9.66
saskylakh,71.92,114.08,-26.34,93.0,95.0,2.32
puerto pinasco,11.0,122.67,24.0,87.0,,3.35
lewistown,40.6,-77.57,2.04,59.0,40.0,7.7
sosua,19.77,-70.52,27.63,74.0,20.0,6.7
ganganagar,29.92,73.88,8.96,58.0,0.0,0.33
attawapiskat,11.0,122.67,24.0,87.0,,3.35
tautira,-17.73,-149.15,28.96,74.0,20.0,4.1
petatlan,17.52,-101.27,32.0,62.0,5.0,4.6
grand river south east,11.0,122.67,24.0,87.0,,3.35
salalah,17.02,54.09,21.0,40.0,0.0,6.7
walvis bay,-22.96,14.51,20.0,82.0,8.0,4.6
kenai,60.55,-151.26,-22.48,82.0,1.0,4.58
belyy yar,53.6,91.39,-18.0,91.0,100.0,2.0
yulara,-25.24,130.99,27.0,32.0,0.0,4.6
magdagachi,53.45,125.8,-23.53,90.0,23.0,2.35
sibu,2.3,111.82,25.0,94.0,75.0,0.5
teya,60.38,92.63,-12.93,93.0,82.0,2.9
husavik,66.04,-17.34,1.0,64.0,65.0,11.8
alakurtti,66.97,30.35,-11.11,90.0,100.0,0.89
kuito,-12.38,16.93,16.36,93.0,98.0,2.35
tual,-5.67,132.75,28.59,79.0,59.0,4.6
kedrovyy,56.17,91.82,-5.0,57.0,40.0,3.0
vestmannaeyjar,63.44,-20.27,4.0,72.0,100.0,7.07
fairbanks,64.84,-147.72,-26.66,60.0,1.0,1.22
kattivakkam,13.22,80.32,24.0,83.0,20.0,1.0
hambantota,6.12,81.12,25.53,87.0,0.0,5.23
corinth,37.94,22.96,9.08,62.0,20.0,5.1
zaysan,47.47,84.87,-13.76,80.0,53.0,1.09
kruisfontein,-34.0,24.73,22.95,84.0,90.0,5.94
kibala,9.11,18.35,26.0,29.0,12.0,1.5
srednekolymsk,67.45,153.68,-27.34,97.0,100.0,3.75
san,13.3,-4.9,23.27,14.0,0.0,4.43
praia,14.92,-23.51,22.0,64.0,33.0,9.3
bargal,11.0,122.67,24.0,87.0,,3.35
noumea,-22.28,166.46,26.33,65.0,0.0,1.0
sao jose da coroa grande,-8.9,-35.15,27.56,72.0,0.0,6.81
flinders,-34.58,150.86,17.91,100.0,75.0,3.6
athabasca,54.72,-113.29,-27.19,94.0,100.0,3.06
logrono,42.47,-2.45,7.89,100.0,98.0,1.0
broome,42.25,-75.83,-1.28,100.0,90.0,2.6
beirut,33.89,35.49,15.31,53.0,75.0,10.8
longyearbyen,78.22,15.64,-18.0,70.0,79.0,2.6
campbellsville,37.34,-85.34,7.14,39.0,1.0,2.1
fort nelson,58.81,-122.7,-36.0,66.0,40.0,1.0
isangel,-19.55,169.27,28.0,74.0,20.0,8.5
airai,-8.93,125.41,19.76,91.0,36.0,1.23
saldanha,-33.01,17.94,20.0,82.0,0.0,6.7
machaneng,-23.19,27.49,25.06,38.0,100.0,3.53
cabo san lucas,22.89,-109.91,24.9,23.0,90.0,5.1
yaan,7.38,8.57,27.09,14.0,8.0,3.61
eureka,40.8,-124.16,6.19,87.0,90.0,2.6
naron,43.52,-8.15,9.99,93.0,20.0,4.6
samarai,-10.62,150.67,25.54,83.0,100.0,3.2
hihifo,,,,,,
provideniya,64.38,-173.3,-7.0,92.0,90.0,6.0
merauke,-8.47,140.33,23.95,94.0,59.0,1.95
faya,18.39,42.45,11.96,57.0,0.0,0.97
byron bay,-28.65,153.62,22.81,78.0,75.0,6.7
puerto escondido,15.85,-97.07,30.0,79.0,5.0,3.1
arenapolis,-14.45,-56.85,29.73,82.0,68.0,1.01
nizhneyansk,,,,,,
sistranda,63.73,8.83,6.0,81.0,40.0,7.2
houma,29.6,-90.72,24.27,78.0,40.0,2.6
arman,59.7,150.17,-16.49,65.0,100.0,4.03
snezhnogorsk,69.19,33.25,-13.0,84.0,52.0,1.0
lavrentiya,65.58,-171.0,-14.99,86.0,100.0,5.62
nova olimpia,-14.8,-57.29,32.43,61.0,100.0,1.04
bubaque,11.28,-15.83,25.45,64.0,0.0,5.43
portland,45.52,-122.68,3.98,80.0,90.0,0.09
skelleftea,64.75,20.95,-3.0,92.0,70.0,3.1
bilma,18.69,12.92,14.75,35.0,28.0,5.77
te anau,-45.42,167.72,12.84,72.0,19.0,0.67
torbay,47.67,-52.73,-7.9,78.0,40.0,2.6
vao,-22.67,167.48,25.04,83.0,5.0,8.46
simao,22.79,100.97,7.95,85.0,0.0,0.51
soe,-9.86,124.28,24.88,88.0,89.0,1.69
rameswaram,9.28,79.3,26.19,78.0,0.0,6.95
vaitape,-16.52,-151.75,27.55,80.0,4.0,7.84
warrnambool,-38.38,142.48,12.78,85.0,44.0,10.15
mount gambier,-37.83,140.77,13.0,58.0,90.0,4.6
perth,-31.93,115.83,23.15,64.0,72.0,2.6
ribeirao das neves,-19.77,-44.09,30.75,43.0,40.0,3.1
kabo,7.7,18.63,25.11,19.0,40.0,1.74
mys shmidta,,,,,,
lorengau,-2.02,147.27,28.75,75.0,75.0,10.7
japura,-0.32,102.35,22.99,95.0,100.0,0.45
adrar,20.5,-10.07,17.8,15.0,26.0,5.68
batagay,67.63,134.63,-32.48,98.0,90.0,0.81
saint-augustin,51.23,-58.65,-12.29,73.0,100.0,4.32
zyryanka,65.75,150.85,-26.68,98.0,100.0,1.71
ahipara,-35.17,173.17,23.33,90.0,0.0,0.45
atagay,55.1,99.39,-12.64,81.0,84.0,2.25
esperance,-33.87,121.9,19.0,82.0,90.0,3.6
mgandu,-5.95,34.13,16.56,95.0,100.0,0.49
balykshi,,,,,,
malwan,,,,,,
sitka,57.05,-135.33,-7.0,41.0,75.0,3.1
buala,-8.14,159.59,27.41,80.0,100.0,4.78
klaksvik,62.23,-6.59,6.0,81.0,100.0,9.8
barao de melgaco,-16.19,-55.97,25.0,88.0,75.0,5.7
lata,40.16,-8.33,11.07,93.0,20.0,2.1
hami,42.8,93.45,-10.92,75.0,0.0,0.67
nova ushytsya,48.84,27.27,-2.78,96.0,54.0,1.34
bouca,6.51,18.27,24.3,22.0,65.0,1.82
along,28.17,94.77,12.33,70.0,97.0,1.9
ruwi,23.6,58.55,16.0,67.0,0.0,1.5
saint-francois,46.42,3.91,8.93,61.0,0.0,5.1
bathsheba,13.22,-59.52,28.0,65.0,40.0,8.2
malatya,38.5,38.0,-5.0,85.0,7.0,1.5
poddorye,57.47,31.12,3.96,83.0,96.0,4.25
sentyabrskiy,,,,,,
surt,31.21,16.59,14.04,65.0,99.0,5.11
palabuhanratu,,,,,,
barranca,-10.75,-77.77,21.14,91.0,0.0,4.31
siocon,7.71,122.14,27.28,83.0,100.0,2.98
sorong,-0.88,131.25,23.74,99.0,99.0,1.07
padang,-0.95,100.35,20.06,96.0,98.0,1.71
santa fe,-31.63,-60.7,27.68,31.0,35.0,1.79
ribeira grande,38.52,-28.7,12.0,66.0,20.0,1.5
ostrovnoy,68.05,39.51,-12.56,98.0,97.0,2.86
dingle,11.0,122.67,24.0,87.0,100.0,3.35
tura,25.52,90.22,16.17,77.0,0.0,0.99
andros town,24.7,-77.77,24.44,73.0,0.0,1.79
lebu,-37.62,-73.65,19.27,45.0,0.0,6.16
saleaula,,,,,,
morondava,-20.28,44.28,25.69,82.0,78.0,1.62
san ramon,37.78,-121.98,6.78,87.0,90.0,6.7
chagda,,,,,,
sao felix do xingu,-6.64,-51.99,26.3,90.0,85.0,2.0
santa isabel do rio negro,-0.41,-65.02,27.74,90.0,56.0,1.16
norwich,52.63,1.3,10.81,76.0,100.0,9.8
port lincoln,-34.73,135.87,14.72,68.0,83.0,6.58
karaman,37.08,33.25,-2.5,89.0,100.0,0.63
vanavara,60.34,102.28,-10.21,95.0,94.0,3.11
vila,42.03,-8.16,10.92,93.0,75.0,2.6
peace river,56.25,-117.29,-29.0,68.0,90.0,3.1
key west,24.56,-81.78,26.32,54.0,1.0,4.6
cedar rapids,42.01,-91.64,-12.82,60.0,1.0,4.1
puteyets,65.17,57.09,-15.34,96.0,76.0,2.64
sao joao da barra,-21.64,-41.05,31.05,59.0,65.0,5.7
ruiz,21.95,-105.15,30.0,33.0,75.0,2.1
kamenka,51.32,42.77,-1.11,92.0,100.0,6.69
sivas,39.79,37.0,-8.0,78.0,0.0,7.2
puerto el triunfo,13.28,-88.55,32.48,52.0,20.0,4.1
zhangye,38.93,100.45,-5.2,48.0,0.0,2.55
maglajani,44.95,17.35,1.0,91.0,26.0,0.5
xuddur,4.12,43.89,23.54,28.0,0.0,6.59
kaifeng,34.79,114.35,0.0,88.0,0.0,2.0
lincoln,40.8,-96.67,-9.32,47.0,1.0,2.6
grand gaube,-20.01,57.66,26.81,83.0,40.0,4.1
rock sound,24.9,-76.2,23.64,67.0,0.0,4.42
anzio,41.49,12.62,6.24,81.0,27.0,2.1
coahuayana,18.73,-103.68,29.0,48.0,40.0,2.62
la ronge,55.1,-105.28,-30.0,67.0,90.0,1.0
sola,-13.88,167.55,28.09,82.0,100.0,7.81
ust-maya,60.42,134.53,-24.53,99.0,100.0,0.48
ngunguru,-35.62,174.5,20.31,68.0,4.0,2.24
lugo,43.0,-7.5,8.41,92.0,52.0,0.45
seymchan,62.88,152.43,-26.72,97.0,100.0,1.96
bonavista,48.65,-53.11,-7.78,79.0,10.0,2.24
umzimvubu,,,,,,
sakmara,51.98,55.33,-2.0,100.0,90.0,7.0
phan thiet,10.93,108.1,20.26,86.0,0.0,1.12
dhidhdhoo,6.88,73.1,27.46,70.0,100.0,3.82
qasigiannguit,68.82,-51.19,-13.0,42.0,20.0,3.6
hobyo,5.35,48.53,23.13,67.0,9.0,9.29
avera,33.19,-82.53,23.43,33.0,1.0,3.6
howard springs,-12.5,131.05,26.73,74.0,100.0,2.1
kadykchan,,,,,,
yanam,16.73,82.22,19.93,96.0,4.0,1.18
new waterford,40.85,-80.61,-0.47,62.0,90.0,6.7
yar-sale,66.83,70.83,-11.84,92.0,100.0,9.25
marion,39.77,-86.16,-0.35,48.0,1.0,4.6
razole,16.48,81.83,19.93,96.0,4.0,1.18
vilyuysk,63.76,121.62,-30.74,98.0,79.0,1.24
huilong,31.81,121.66,5.55,88.0,100.0,5.7
lagoa,39.05,-27.98,13.74,55.0,100.0,3.68
piacabucu,-10.41,-36.43,26.74,70.0,14.0,4.6
port moresby,-9.44,147.18,24.0,78.0,20.0,3.1
bairiki,1.33,172.98,29.0,83.0,75.0,4.6
alta floresta,-9.88,-56.09,26.0,74.0,40.0,4.1
clinton,42.59,-82.92,-2.29,68.0,90.0,7.2
minuri,16.54,121.86,17.72,98.0,39.0,0.52
oranjestad,12.52,-70.03,29.0,70.0,75.0,11.3
catamarca,-28.47,-65.79,21.77,55.0,88.0,2.24
poum,-20.23,164.02,25.97,78.0,33.0,7.9
bambamarca,-6.68,-78.53,21.0,43.0,75.0,4.1
jiaozhou,36.28,120.0,-0.11,92.0,98.0,2.0
teahupoo,-17.83,-149.27,28.95,74.0,20.0,4.1
pangkalanbuun,-2.68,111.62,23.26,97.0,4.0,0.87
xudat,41.63,48.68,-0.09,93.0,61.0,1.65
valer,60.68,11.83,1.13,90.0,100.0,1.5
arlit,18.74,7.39,17.78,22.0,100.0,3.83
kirkwall,58.98,-2.96,8.0,93.0,90.0,14.4
biograd na moru,43.94,15.45,4.1,93.0,15.0,3.1
amapa,1.0,-52.0,26.16,83.0,41.0,2.07
jiexiu,37.02,111.91,-7.26,83.0,0.0,3.66
lushunkou,,,,,,
lolua,,,,,,
kudahuvadhoo,2.67,72.89,27.31,76.0,2.0,6.3
rawson,-43.3,-65.1,14.06,53.0,0.0,3.8
port hedland,-20.32,118.57,30.0,74.0,40.0,6.2
okhotsk,59.38,143.3,-25.58,77.0,93.0,4.23
pavlodar,52.3,76.95,-8.0,92.0,90.0,11.0
bogalusa,30.79,-89.85,23.59,83.0,90.0,2.6
bonnyville,54.27,-110.73,-28.0,61.0,90.0,3.6
nsanje,-16.92,35.26,23.45,97.0,100.0,1.2
sladkovo,55.53,70.34,-3.46,93.0,100.0,8.85
burica,,,,,,
nampula,-15.12,39.27,22.86,98.0,100.0,1.33
pinsk,52.12,26.1,0.47,92.0,0.0,2.44
guilin,25.28,110.29,5.0,86.0,90.0,3.0
half moon bay,37.46,-122.43,6.68,93.0,75.0,5.7
yarada,17.65,83.27,23.31,74.0,3.0,3.78
champerico,14.3,-91.92,35.0,44.0,20.0,4.1
gunjur,13.2,-16.73,23.0,49.0,0.0,4.6
suleja,9.18,7.18,27.0,39.0,0.0,1.0
kununurra,-15.77,128.73,23.0,100.0,40.0,4.6
ulaanbaatar,47.91,106.88,-27.0,75.0,13.0,0.26
boralday,43.36,76.86,-8.0,85.0,75.0,1.0
zorritos,-3.68,-80.68,32.0,33.0,40.0,4.6
iturama,-19.73,-50.2,29.11,76.0,78.0,1.67
maraa,-1.83,-65.37,28.0,91.0,88.0,1.01
astara,38.5,48.67,5.0,100.0,90.0,1.0
caravelas,-17.71,-39.25,27.01,84.0,0.0,6.8
bauchi,10.5,10.0,18.74,24.0,0.0,2.91
chengde,40.97,117.94,-12.09,76.0,100.0,1.37
magnor,59.95,12.2,3.4,86.0,88.0,3.1
trofors,65.53,13.41,5.69,86.0,75.0,6.7
naze,28.37,129.48,18.0,88.0,90.0,3.1
guayaramerin,-10.84,-65.36,32.98,51.0,91.0,0.08
arica,-18.48,-70.3,24.45,60.0,75.0,5.1
emerald,-23.53,148.17,20.14,100.0,75.0,2.6
crib point,-38.35,145.2,14.37,90.0,58.0,7.01
taburao,,,,,,
quetzaltepec,,,,,,
ewa beach,21.32,-158.01,25.12,69.0,40.0,4.1
kashan,33.98,51.44,4.98,63.0,81.0,1.51
kuching,1.55,110.33,25.0,100.0,75.0,1.5
baherden,38.44,57.43,2.12,60.0,0.0,3.23
porbandar,21.64,69.61,19.4,41.0,0.0,5.07
vaitupu,,,,,,
yenagoa,4.92,6.26,26.14,76.0,0.0,2.13
warqla,,,,,,
paamiut,61.99,-49.67,-9.78,75.0,100.0,4.26
buta,2.79,24.73,23.46,36.0,56.0,0.08
barentu,15.11,37.59,18.77,43.0,0.0,1.18
